YEAR
MONTH
DAY
DOY
HOUR
MINUTE
TIMESTAMP
TIMESTAMP_START
TIMESTAMP_END
CO2_1_1_1
H2O_1_1_1
CO2_1_1_2
H2O_1_1_2
CO2_1_1_3
H2O_1_1_3
CO2_1_2_2
H2O_1_2_2
CO2_1_2_3
H2O_1_2_3
CO2_1_3_2
H2O_1_3_2
CO2_1_3_3
H2O_1_3_3
CO2_1_4_2
H2O_1_4_2
CO2_1_4_3
H2O_1_4_3
WS_1_1_1
WS_MAX_1_1_1
WD_1_1_1
T_SONIC
T_SONIC_SIGMA
FC
SC
NEE_PI
LE
SLE
USTAR
H
SH
FETCH_90
FETCH_MAX
V_SIGMA
WS_1_2_1
WS_1_3_1
WS_1_4_1
WS_MAX_1_2_1
WS_MAX_1_3_1
WS_MAX_1_4_1
WD_1_2_1
WD_1_3_1
WD_1_4_1
TA_1_1_1
TA_1_1_2
TA_1_2_1
TA_1_3_1
TA_1_4_1
PA
RH
VPD_PI
T_CANOPY_1_1_1
T_CANOPY_1_2_1
SW_DIF
SW_IN_1_1_1
SW_IN_1_1_2
SW_OUT
LW_IN
LW_OUT
LW_BC_IN
LW_BC_OUT
PPFD_IN_1_1_1
PPFD_IN_1_2_1
PPFD_IN_1_3_1
PPFD_IN_1_4_1
PPFD_OUT
PPFD_BC_IN_1_1_1
PPFD_BC_IN_2_1_1
PPFD_BC_IN_3_1_1
G_1_1_1
G_2_1_1
G_3_1_1
NETRAD
P
CH4_MIXING_RATIO_1_1_1
CH4_MIXING_RATIO_1_2_1
CH4_MIXING_RATIO_1_3_1
CH4_MIXING_RATIO_1_4_1
